Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16718819,Majkel1337,"2026-09-13 23:03:27",3188.2,2,majkel1337
2,16730612,"Unknown Mother-Goose","2026-09-16 02:07:02",3169.5,2,linkinpony
3,16640510,SpaTaro,"2026-09-16 20:14:02",3128.8,2,tarosqrd2
4,16732403,ymg_aq,"2026-09-17 13:21:29",3077.2,2,ymgpalaqs
5,16621799,"Artem The Farmer 🍅","2026-09-17 22:19:28",3057.7,2,veshkinartem
6,16664246,"Sida Zuo","2026-09-15 22:42:16",3054.1,2,sidazuo
7,16732748,DSM,"2026-09-18 08:57:42",3053.7,2,"denden12,masspeaks,shimishige"
8,16675778,"Orbital Terraformer","2026-09-15 22:56:40",3050.2,2,tubotubo
9,16685950,"Planned Economy","2026-09-17 00:10:44",3032.8,2,alturutin
10,16817528,QQ,"2026-09-18 10:36:37",3031.0,2,william950615
11,16760569,"Otter Vibe","2026-09-18 11:02:38",3029.6,2,gyuminsong
12,16673205,"Arda Ceylan","2026-09-17 12:36:20",3026.8,2,ardacey
13,16671741,Excluding,"2026-09-18 05:56:05",3004.1,2,excluding
14,16758882,mtmr_s1,"2026-09-18 03:13:45",3001.8,2,mtmrs1
15,16739633,kwa,"2026-09-17 19:42:18",2992.2,2,ikaroskaggle
16,16748733,"Driz Lo","2026-09-18 10:05:37",2979.6,2,drizlo
17,16685556,binghua,"2026-09-17 15:39:53",2975.8,2,binghua123
18,16882725,Ebi,"2026-09-15 10:01:29",2969.9,2,ebinan92
19,16706222,"Xiangyu Liu","2026-09-15 09:31:18",2966.6,2,xiangyuliu007
20,16714457,"Crop Dustas","2026-09-14 17:07:02",2949.2,2,"peikopon,rishigottumukkala"
21,16805699,"feel the agi","2026-09-13 14:05:13",2944.7,2,nulldata
22,16730524,"THIRD FARM CLUB","2026-09-18 09:25:49",2943.6,2,"bowwowforeach,mooegi,shunrcn,simann"
23,16629685,mikelou1,"2026-09-18 02:00:56",2941.6,2,mikelou1
24,16637255,"leave you","2026-09-18 05:07:35",2941.5,2,superallen001
25,16863959,"Một hai ba bốn 5 sáu bảy tám 9","2026-09-18 08:53:11",2939.5,2,thangnm1
26,16767215,keiz,"2026-09-18 00:00:43",2939.3,2,keizkeiz
27,16760701,"Yannik Schiffner","2026-09-17 20:38:46",2938.9,2,yannikschiffner
28,16629972,"forever young","2026-09-18 06:00:19",2938.0,2,keisukeyokota0428
29,16693904,DeeperNet,"2026-09-16 12:52:21",2935.3,2,"deepernet,kkkggg,xblade"
30,16644724,"Kaggriculture Agent","2026-09-18 08:14:28",2934.1,2,"jiweiliu,tonylica,yiheng"
31,16641710,yjshyfy,"2026-09-17 15:48:21",2928.4,2,yjshyfy
32,16622330,"hiroshi murakami","2026-09-17 20:29:25",2919.4,2,zabojeb
